cyc_pwr,soc,batt_pwr,fc_pwr
0.0,0.95,0.0,0.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
0.0,0.95,0.0,1250.0
1568.374523504104,0.95,0.0,2850.3821668409228
4507.341595431312,0.95,0.0,5849.32815860338
6868.70628713072,0.95,0.0,8258.883966459918
10208.546605627442,0.9493916499320146,1617.7193945911572,9940.000000000002
12703.684574786364,0.9477049858370993,4485.163004158585,9940.000000000002
14365.67418789711,0.9453384139819002,6293.168013488786,9940.000000000002
3241.111548321392,0.9469877344915028,-4521.504387153094,9940.000000000002
5727.1849201847745,0.9478597539495397,-2390.5843541273375,9940.000000000002
17956.838273074212,0.9440381837688323,10162.287348130225,9940.000000000002
8375.261799229342,0.944082249810046,-120.80417208913741,9940.000000000002
6535.664066595652,0.9447014884379649,-1697.6022286323,9940.000000000002
2179.9766387585437,0.9466825856724184,-5431.04859534982,9940.000000000002
-1555.3177345286856,0.9496180157492597,-8047.289713154814,9305.895421536667
-2990.3920846219903,0.9499765702806351,-982.953814742782,0.0
-2927.5548431306956,0.9499996458780712,-63.26024228513461,0.0
-2180.422213538295,0.9499999946477233,-0.9561292077075905,0.0
-2808.153543438818,0.9499999999191044,-0.014451146879082444,0.0
-16102.248870109868,0.9499999999987773,-0.00021841788384335814,0.0
-10285.574930303155,0.9499999999999815,-3.301259312138427e-06,0.0
800.8021894420252,0.9499999999999996,-4.976027412340045e-08,2067.1450913266112
2315.757907832309,0.95,-8.992628863779828e-10,3613.0182732993453
2366.9017206149397,0.95,0.0,3665.2058373621835
3485.1958422105545,0.95,4.547473508864641e-13,4806.322287969953
6986.315355377794,0.95,0.0,8378.89321977326
13103.372576628786,0.9481555227718377,4904.818363481752,9940.000000000002
14605.914783568935,0.9456979800451887,6535.076991283045,9940.000000000002
13053.828140924048,0.9438748641904782,4848.014378495811,9940.000000000002
2986.555947975943,0.9456037746019998,-4739.694901734907,9940.000000000002
-52.408882427589845,0.9482822054021289,-7342.742992014393,9940.000000000002
697.182997187826,0.9498250150299639,-4229.511765714348,6996.544276042074
-8125.764088474158,0.9499908216934567,-454.54813181396,0.0
-14228.140978948155,0.9499998612770573,-24.78142766673136,0.0
-10390.995718742035,0.9499999979033109,-0.37455194525909974,0.0
-6213.3489947991475,0.9499999999683101,-0.0056610604203797266,0.0
864.7104040695234,0.949999999999521,-8.556265674997121e-05,2132.357657033289
11539.858256669035,0.9488025887255189,3184.1460093367737,9940.000000000002
14214.707334942837,0.9465003838877086,6122.003781114327,9940.000000000002
13680.41764791831,0.9444165986611619,5541.184184150391,9940.000000000002
13369.51987946376,0.9424573704655465,5209.9631729692255,9940.000000000002
9457.59550680775,0.9421539284599239,806.9104344066402,9940.000000000002
4887.8356153006325,0.9432883806782733,-3110.0266154566016,9940.000000000002
4148.382534871929,0.9446540318883764,-3743.8435415383483,9940.000000000002
2527.964489576046,0.946526326492371,-5132.773294649105,9940.000000000002
-1625.7463868630916,0.9495941939028105,-8410.358007886021,9669.099502643245
834.0261556343903,0.9499756646088061,-1045.7770097972457,3346.0197282971194
3297.038689373382,0.9499996321895481,-65.70555622337224,4692.546093504065
2498.944202020341,0.9499999944408319,-0.9930882200580982,3801.125311167084
849.5062381315405,0.9499999999159775,-0.015009753640015333,2116.8609688885585
841.7396932316442,0.94999999999873,-0.00022686063039145665,2108.9183243901834
1657.5971341681761,0.9499999999999807,-3.4289571431145305e-06,2941.425651192476
5825.633087331877,0.9499999999999996,-5.1858478400390595e-08,7194.523558563652
5965.495193736421,0.95,-8.992628863779828e-10,7337.2399936096635
2631.225233579389,0.95,0.0,3934.923707734071
-789.1957237120481,0.95,0.0,476.5881907621929
-2471.089116790212,0.95,0.0,0.0
2527.964489576046,0.95,0.0,3829.5556016082105
